كيفك                  , الحمد لله
hi                    , أهلاً! ممكن أساعدك في أي حاجة برمجية.
اهلا                  , الحمد لله
ابعتلي رابط موقع fun x, اهلا هذا هو رابط الموقع-https://kbdalnby180-commits.github.io/wep_fun/
ازيك                  , الحمد لله
اعطيني افكار          , معلش لسا بتدرب
بس                    , اوك
اسمك ايه              , ai khaled
صباح الخير            , صباح النور يا khaled
مساء الخير            , مساءالنور يا khaled
صباح الجمال           , صباح الفل
احلا مساء عليك        , احلا مساء عليك يا خالد تؤمر بي حاجه تاني
بحبك                  , وانا كمان بحبك يا خالد
معني التفكير          , التفكير هو هبة عظمي  وهبها الله للانسان والتي من اعظم اثاراها وجود الحضارة الانسانية فالتفكير يحدث للانسان دون تعلم مقصود (تلقائي)دائم التطور
هل يوجد تعارض بين الفلسفه والدين, طبعا لا يوجد اي تعارض بين الدين والفلسفه  فالحق لا يضاد الحق  حيث ان الحجه العقلية الفلسفيه داعمة للايمان  والاعتقاد الديني  وهما يلتقيان في معالجة موضوعات معينه  مثل ( اصل العالم. طبيعية الوجود. طبيعه الانسان. اصل الانسان)
صلاية الملك نعرمر, لوحة من حجر الشيست الاخضر وترجع للاسرة الاولة عام3200ق.م
ما اهميه دراسه التاريخ, اهمية دراسة التاريخ هي (استخلاص العبر والدروس.ابراز القدوات الصالحه.تنميه الشعور بي المسئولية.التقليل من حدة التعصب)
ما هي النقوش,هي الرسوم والكتابات المدونة علي مواد صلبة مثل(الحجر .الرخام.الخشب.الصلصال.المعادن خاصة البرونز)
حجر بالرمو,هو عبارة عن لوحه كبيره من الديوريت الاسود يبلغ طوله حوالي مترين وقد عثر عليها في مدينة منف وتحتوي علي  اسماء جميع من حكموا مصر منذ العصور ما قبل الاسرات وحتي ثالث ملوك الاسرة الخامسه وتم تدوين عليها اهم  الاحداث التاريخيه  مثل الحروب واقامة المعابد .واقامة التماثيل الكبيرة ذات الاهميه الخاصة
مانيتون السمنودي, هو اول مؤرخ مصري قديم قام بكتابة تاريخ مصر 
هيرودوت ,هو مؤرخ اغريقي زار مصر وكتب عنها في كتابه (تمحيص الاخبار)والذي يتكون من تسعة اجزاء خصص الجزاء الثاني منه لمصر وتحدث فيه عن(جغرافيتها ومدنها. احداثها التاريخية التي مرت بها .اعمال ملوكها .مظاهر حضارتها) 
